Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.74585246806155E-16,4.44089209850063E-16,0.128881106851671,0,0,0,22.033335501173,0.8417129763989,-1.83539305948728E-15,1.04328143130752E-15,1.85632822551968,-5.16947595841089E-16,2.61458422893647,0,0,0,0,0,0,package://6_Legs_fixed/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/base_link.STL,,Base_Link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-2.77555756156289E-16,0.0193856043120518,0.00799128397049295,0,0,0,0.294565123385619,0.00105494307880137,-1.38635230288521E-17,8.15583132799492E-18,0.000429285347286343,2.12375671938406E-05,0.000930841228803921,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_1.STL,,Link 1-1,Origin_No_Joint,Axis_No_Joint,No_Joint,fixed,0.317499999999999,0.144099999999999,0.0199999999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_2_1,0.00440457701081298,0.133234737745357,0.0147340785494887,0,0,0,0.35463848639693,0.0022431506995859,-1.43733427396489E-05,4.18803786744805E-06,0.000838300018387207,0.000409382102865286,0.00195814822262964,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_1.STL,,Link 2_1-1,Origin_Joint_1,J1_Axis,Joint_1,fixed,-0.0030746,0.081274,0.03275,0,0,0,Link_1,0,0,0,,,,,,,,,,,,
Link_2,0.161310305567988,-0.239853582294744,-0.00247675891911525,0,0,0,2.21151363725631,0.0341297219781968,0.0255123389151366,0.000272334576142029,0.0956933397810624,-0.00018045052821444,0.112972719824399,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2.STL,,Link 2-1,Origin_Joint_2,J2_Axis,Joint_2,fixed,0.0053286,0.22355,0.035553,-1.5708,1.5567,1.5708,Link_2_1,0,0,0,,,,,,,,,,,,
Link_1_2,7.78065189729364E-17,0.0193856043120519,0.00799128397049298,0,0,0,0.294565123385619,0.00105494307880137,-3.59682279865432E-18,-1.75639343909086E-18,0.000429285347286344,2.12375671938395E-05,0.000930841228803922,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_1_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_1_2.STL,,Link 1-3,Origin_Fixed_Joint_2,Axis_Fixed_Joint_2,Fixed_Joint_2,fixed,0,0.1441,0.02,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_2_1_2,-0.00119443281923461,0.126109214219085,0.0149275647877688,0,0,0,0.354638486396931,0.0022432977410922,8.13929796118913E-11,-2.77070816509354E-11,0.000838152976880902,0.00040940352442008,0.00195814822262964,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_1_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_1_2.STL,,Link 2_1-2,Origin_Joint_1_2,J1_2_Axis,Joint_1_2,fixed,0.0011944,0.088406,0.032957,0,0,0,Link_1_2,0,0,0,,,,,,,,,,,,
Link_2_2,0.00232819705566778,-0.00385619268525492,7.45753830105682E-09,0,0,0,0.0693204915543849,3.56780731089416E-05,1.43315615772311E-08,-1.40975412123694E-08,3.56629937884206E-05,-8.50756239341584E-09,1.49181504825407E-05,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_2.STL,,Joint 2-2,Origin_Joint_2_2,J2_2_Axis,Joint_2_2,fixed,-0.0011944,0.2088,0.035747,-1.5707,1.5708,1.5709,Link_2_1_2,0,0,0,,,,,,,,,,,,
Link_1_3,-0.00443938069490774,-0.0655027911560029,-0.0251587160295106,0,0,0,0.294565123385619,0.00105494307880137,-2.85091557835376E-18,-1.95472178815993E-18,0.000429285347286343,2.12375671938393E-05,0.000930841228803921,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_1_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_1_3.STL,,Link 1-4,Origin_Fixed_Joint_3,Axis_Fixed_Joint_3,Fixed_Joint_3,fixed,-0.313060619305092,0.228988395468048,0.0531500000000036,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_2_1_3,0.129636104863769,0.0147340785494821,-0.00444014039667867,0,0,0,0.354638486396931,0.000838152976880922,0.000409403524420104,8.13925089437219E-11,0.00195814822262963,-2.77069450750762E-11,0.00224329774109221,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_1_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_1_3.STL,,Link 2_1-3/pitch_attachment-1,Origin_Joint_1_3,J1_3_Axis,Joint_1_3,fixed,0,0,0,1.5708,0,1.5728,Link_1_3,0,0,0,,,,,,,,,,,,
Link_2_3,0.162625008862092,-0.24669558344667,4.49640324973188E-15,0,0,0,2.2115136372563,0.0338513825334559,0.0251742141271308,1.2732641614774E-16,0.0959697941105454,-2.74845250725075E-17,0.112974604939655,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_3.STL,,Link 2-3,Origin_Joint_2_3,J2_3_Axis,Joint_2_3,fixed,0.2123,0.035495,-0.0044401,-3.1416,0,-1.5752,Link_2_1_3,0,0,0,,,,,,,,,,,,
Link_1_4,-3.33066907387547E-16,-0.019385604312052,0.00799128397049301,0,0,0,0.29456512338562,0.00105494307880138,-1.13716178449994E-17,1.29412240558589E-18,0.000429285347286344,-2.12375671938404E-05,0.000930841228803925,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_1_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_1_4.STL,,Link 1-5,Origin_Fixed_Joint_4,Axis_Fixed_Joint_4,Fixed_Joint_4,fixed,0.317500000000001,-0.144099999999999,0.02,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_2_1_4,0.125562950483786,0.001689160065936,0.014734078549491,0,0,0,0.35463848639693,0.000838310778854466,-1.48899199282642E-05,0.00040938053511016,0.00224313993911864,4.33858047185253E-06,0.00195814822262963,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_1_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_1_4.STL,,Link 2_1-4,Origin_Joint_1_4,J1_4_Axis,Joint_1_4,continuous,-0.00031135,-0.088945,0.03315,0,0,-1.5708,Link_1_4,0,0,-1,,,,,,,,,,,,
Link_2_4,0.162625008862141,0.238963561713091,-0.00253231568323709,0,0,0,2.21151363725629,0.0338513825334561,-0.0251728007382378,0.000266758151926227,0.0959717035036993,0.000180181085593333,0.112972695546501,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_2_4.STL,,Link 2-4,Origin_Joint_2_4,J2_4_Axis,Joint_2_4,fixed,0.21595,0.0026471,0.035432,-1.5602,1.5587,-3.131,Link_2_1_4,0,0,0,,,,,,,,,,,,
Link_1_5,-3.93318232140555E-17,-0.0193856043120521,0.00799128397049298,0,0,0,0.294565123385619,0.00105494307880137,-8.56216411872192E-19,2.04207351117204E-18,0.000429285347286344,-2.12375671938402E-05,0.000930841228803922,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_1_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6_Legs_fixed/meshes/Link_1_5.STL,,Link 1-6,Origin_Fixed_Joint_5,Axis_Fixed_Joint_5,Fixed_Joint_5,fixed,0,-0.144099999999999,0.02,0,0,0,base_link,0,0,0,,,,,,,,,,,,
